"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"268","5/7/2021 6:56","STX",NA,"UGwr","1","3","PremierDraft","Platinum-3","Platinum-3"
"269","5/5/2021 11:09","STX",NA,"URG","6","3","Sealed",NA,NA
"270","5/5/2021 10:51","STX",NA,"WB","0","3","Sealed",NA,NA
"271","5/4/2021 22:31","STX",NA,"WB","6","3","Sealed",NA,NA
"272","5/3/2021 0:31","STX","x","UGb","7","1","PremierDraft","Platinum-4","Platinum-3"
"273","5/3/2021 0:10","STX",NA,"WBRug","0","0","PremierDraft",NA,NA
"274","5/2/2021 23:51","STX",NA,"UBG","0","0","PremierDraft",NA,NA
"275","5/2/2021 13:28","STX",NA,"UG","6","3","PremierDraft","Platinum-4","Platinum-4"
"276","5/2/2021 12:24","STX",NA,"UGr","1","3","PremierDraft","Platinum-4","Platinum-4"
"277","5/2/2021 11:33","STX",NA,"UGr","0","3","PremierDraft","Platinum-4","Platinum-4"
"278","5/2/2021 10:39","STX",NA,"UGr","0","2","PremierDraft","Platinum-4","Platinum-4"
"279","5/2/2021 9:42","STX",NA,"URw","1","3","PremierDraft","Platinum-4","Platinum-4"
"280","5/2/2021 8:52","STX",NA,"WBR","0","3","PremierDraft","Platinum-4","Platinum-4"
"281","5/2/2021 8:16","STX",NA,"WR","0","3","PremierDraft","Platinum-4","Platinum-4"
"282","5/2/2021 7:11","STX",NA,"WB","5","3","PremierDraft","Platinum-4","Platinum-4"
"283","5/2/2021 5:51","STX",NA,"WUR","3","3","PremierDraft","Platinum-4","Platinum-4"
"284","5/2/2021 4:23","STX",NA,"URG","3","3","PremierDraft","Platinum-4","Platinum-4"
"285","5/2/2021 3:19","STX",NA,"URg","1","3","PremierDraft","Platinum-4","Platinum-4"
"286","5/2/2021 2:29","STX",NA,"UGb","0","3","PremierDraft","Platinum-4","Platinum-4"
"287","5/2/2021 1:33","STX",NA,"WUR","2","3","PremierDraft","Platinum-4","Platinum-4"
"288","5/1/2021 11:45","STX",NA,"WR","3","3","PremierDraft","Gold-1","Platinum-4"
"289","5/1/2021 9:19","STX",NA,"WB","4","3","PremierDraft","Gold-2","Gold-1"
